time,y_true,y_pred
2025-07-27 15:40:00,84.72,88.2
2025-07-27 15:45:00,84.72,87.84
2025-07-27 15:50:00,85.92,90.48
2025-07-27 15:55:00,86.88,86.64
2025-07-27 16:00:00,87.96,90.6
2025-07-27 16:05:00,88.92,88.08
2025-07-27 16:10:00,86.28,90.12
2025-07-27 16:15:00,88.44,87.72
2025-07-27 16:20:00,85.44,88.92
2025-07-27 16:25:00,88.32,85.8
2025-07-27 16:30:00,87.6,91.08
2025-07-27 16:35:00,87.72,85.2
2025-07-27 16:40:00,86.28,90.24
2025-07-27 16:45:00,89.4,89.16
2025-07-27 16:50:00,84.24,87.72
2025-07-27 16:55:00,87.48,87.24
2025-07-27 17:00:00,89.52,88.44
2025-07-27 17:05:00,86.52,89.04
2025-07-27 17:10:00,89.52,87.96
2025-07-27 17:15:00,85.44,90.12
2025-07-27 17:20:00,93.84,87.12
2025-07-27 17:25:00,85.92,87.36
2025-07-27 17:30:00,87.84,88.8
2025-07-27 17:35:00,89.16,90.72
2025-07-27 17:40:00,88.8,89.52
2025-07-27 17:45:00,87.36,85.32
2025-07-27 17:50:00,89.4,91.56
2025-07-27 17:55:00,89.16,85.68
2025-07-27 18:00:00,87.72,90.96
2025-07-27 18:05:00,89.52,88.8
2025-07-27 18:10:00,85.2,89.16
2025-07-27 18:15:00,87.84,86.76
2025-07-27 18:20:00,85.8,91.68
2025-07-27 18:25:00,87.96,87.12
2025-07-27 18:30:00,82.8,88.08
2025-07-27 18:35:00,90.0,89.52
2025-07-27 18:40:00,86.16,88.2
2025-07-27 18:45:00,87.36,90.6
2025-07-27 18:50:00,84.12,88.08
2025-07-27 18:55:00,87.48,90.6
2025-07-27 19:00:00,85.56,85.68
2025-07-27 19:05:00,83.64,89.52
2025-07-27 19:10:00,90.12,88.92
2025-07-27 19:15:00,84.48,88.32
2025-07-27 19:20:00,89.52,89.16
2025-07-27 19:25:00,86.76,87.72
2025-07-27 19:30:00,87.36,88.32
2025-07-27 19:35:00,85.68,88.32
2025-07-27 19:40:00,88.92,91.92
2025-07-27 19:45:00,85.56,87.96
2025-07-27 19:50:00,85.8,91.08
2025-07-27 19:55:00,84.72,88.92
2025-07-27 20:00:00,89.16,89.4
2025-07-27 20:05:00,86.76,86.04
2025-07-27 20:10:00,84.12,90.24
2025-07-27 20:15:00,87.84,85.08
2025-07-27 20:20:00,84.12,89.4
2025-07-27 20:25:00,89.4,86.88
2025-07-27 20:30:00,87.0,85.2
2025-07-27 20:35:00,87.12,90.96
2025-07-27 20:40:00,84.72,84.96
2025-07-27 20:45:00,88.32,90.0
2025-07-27 20:50:00,84.84,85.56
2025-07-27 20:55:00,86.04,88.92
2025-07-27 21:00:00,86.76,87.96
2025-07-27 21:05:00,87.24,85.92
2025-07-27 21:10:00,87.72,86.28
2025-07-27 21:15:00,85.92,88.08
2025-07-27 21:20:00,87.12,85.68
2025-07-27 21:25:00,84.0,89.16
2025-07-27 21:30:00,90.96,90.24
2025-07-27 21:35:00,83.04,85.92
2025-07-27 21:40:00,87.48,91.08
2025-07-27 21:45:00,85.2,89.4
2025-07-27 21:50:00,84.96,90.72
2025-07-27 21:55:00,84.6,86.52
2025-07-27 22:00:00,86.64,89.88
2025-07-27 22:05:00,87.72,85.56
2025-07-27 22:10:00,84.96,88.08
2025-07-27 22:15:00,87.48,88.44
2025-07-27 22:20:00,83.52,85.8
2025-07-27 22:25:00,85.92,84.96
2025-07-27 22:30:00,82.32,85.44
2025-07-27 22:35:00,86.04,86.64
2025-07-27 22:40:00,84.0,84.12
2025-07-27 22:45:00,86.04,86.16
2025-07-27 22:50:00,84.6,81.84
2025-07-27 22:55:00,84.24,84.48
2025-07-27 23:00:00,84.96,82.44
2025-07-27 23:05:00,85.68,81.72
2025-07-27 23:10:00,86.64,79.08
2025-07-27 23:15:00,82.92,81.0
2025-07-27 23:20:00,86.16,82.56
2025-07-27 23:25:00,82.08,80.76
2025-07-27 23:30:00,86.64,80.16
2025-07-27 23:35:00,81.72,82.44
2025-07-27 23:40:00,86.04,81.48
2025-07-27 23:45:00,82.68,78.0
2025-07-27 23:50:00,83.64,81.96
2025-07-27 23:55:00,85.2,78.6
2025-07-28 00:00:00,81.72,84.24
2025-07-28 00:05:00,82.44,78.96
2025-07-28 00:10:00,84.84,79.8
2025-07-28 00:15:00,82.92,80.04
2025-07-28 00:20:00,81.6,81.24
2025-07-28 00:25:00,85.2,79.68
2025-07-28 00:30:00,79.92,80.04
2025-07-28 00:35:00,85.8,83.16
2025-07-28 00:40:00,81.72,81.6
2025-07-28 00:45:00,83.16,82.68
2025-07-28 00:50:00,81.12,80.16
2025-07-28 00:55:00,82.08,87.6
2025-07-28 01:00:00,87.12,82.08
2025-07-28 01:05:00,81.6,82.68
2025-07-28 01:10:00,83.64,82.2
2025-07-28 01:15:00,82.08,84.48
2025-07-28 01:20:00,84.48,83.64
2025-07-28 01:25:00,82.56,84.0
2025-07-28 01:30:00,83.64,84.96
2025-07-28 01:35:00,80.76,82.2
2025-07-28 01:40:00,82.92,85.8
2025-07-28 01:45:00,81.48,85.68
2025-07-28 01:50:00,80.28,84.0
2025-07-28 01:55:00,82.44,80.28
2025-07-28 02:00:00,82.32,82.8
2025-07-28 02:05:00,82.56,80.28
2025-07-28 02:10:00,80.16,83.16
2025-07-28 02:15:00,84.0,79.32
2025-07-28 02:20:00,80.16,81.72
2025-07-28 02:25:00,83.28,80.52
2025-07-28 02:30:00,82.08,81.72
2025-07-28 02:35:00,84.72,82.08
2025-07-28 02:40:00,80.64,79.68
2025-07-28 02:45:00,84.36,84.72
2025-07-28 02:50:00,80.4,81.24
2025-07-28 02:55:00,81.96,82.44
2025-07-28 03:00:00,83.4,83.4
2025-07-28 03:05:00,81.84,80.52
2025-07-28 03:10:00,83.88,80.4
2025-07-28 03:15:00,81.48,81.6
2025-07-28 03:20:00,85.32,82.2
2025-07-28 03:25:00,81.36,79.32
2025-07-28 03:30:00,82.68,83.64
2025-07-28 03:35:00,81.12,81.48
2025-07-28 03:40:00,86.4,84.72
2025-07-28 03:45:00,80.76,81.0
2025-07-28 03:50:00,82.44,83.04
2025-07-28 03:55:00,81.0,78.96
2025-07-28 04:00:00,81.24,84.12
2025-07-28 04:05:00,82.68,80.88
2025-07-28 04:10:00,82.92,82.2
2025-07-28 04:15:00,82.68,80.28
2025-07-28 04:20:00,79.08,85.08
2025-07-28 04:25:00,85.44,82.2
2025-07-28 04:30:00,79.8,80.52
2025-07-28 04:35:00,81.96,85.44
2025-07-28 04:40:00,80.4,79.56
2025-07-28 04:45:00,80.88,84.84
2025-07-28 04:50:00,79.92,79.56
2025-07-28 04:55:00,82.2,85.08
2025-07-28 05:00:00,81.6,82.2
2025-07-28 05:05:00,79.2,82.56
2025-07-28 05:10:00,82.08,81.48
2025-07-28 05:15:00,79.08,82.44
2025-07-28 05:20:00,81.12,82.08
2025-07-28 05:25:00,80.04,83.88
2025-07-28 05:30:00,80.16,83.52
2025-07-28 05:35:00,79.92,83.52
2025-07-28 05:40:00,82.56,86.52
2025-07-28 05:45:00,80.88,82.08
2025-07-28 05:50:00,80.88,84.36
2025-07-28 05:55:00,78.6,84.24
2025-07-28 06:00:00,82.2,85.44
2025-07-28 06:05:00,81.12,82.08
2025-07-28 06:10:00,80.88,83.28
2025-07-28 06:15:00,83.04,83.64
2025-07-28 06:20:00,80.28,85.56
2025-07-28 06:25:00,83.64,87.0
2025-07-28 06:30:00,79.92,83.52
2025-07-28 06:35:00,82.32,85.2
2025-07-28 06:40:00,80.76,84.72
2025-07-28 06:45:00,84.72,86.28
2025-07-28 06:50:00,81.12,82.68
2025-07-28 06:55:00,82.92,87.84
2025-07-28 07:00:00,82.68,82.92
2025-07-28 07:05:00,84.48,86.88
2025-07-28 07:10:00,82.68,82.8
2025-07-28 07:15:00,82.44,89.04
2025-07-28 07:20:00,86.64,83.88
2025-07-28 07:25:00,83.16,84.6
2025-07-28 07:30:00,85.32,88.8
2025-07-28 07:35:00,84.12,84.36
2025-07-28 07:40:00,87.6,85.92
2025-07-28 07:45:00,82.44,86.76
2025-07-28 07:50:00,85.8,86.88
2025-07-28 07:55:00,83.88,83.88
2025-07-28 08:00:00,84.72,90.84
2025-07-28 08:05:00,87.48,85.56
2025-07-28 08:10:00,85.68,86.76
2025-07-28 08:15:00,88.32,87.12
2025-07-28 08:20:00,83.76,85.56
2025-07-28 08:25:00,88.92,88.44
2025-07-28 08:30:00,84.72,85.44
2025-07-28 08:35:00,88.44,87.6
2025-07-28 08:40:00,87.12,87.0
